thai,romanization,english,breakdown,difficulty
ฉันรู้สึกเหนื่อยหลังจากทำงานเสร็จ,chǎn rúusùek nùeai lǎng jàak tham-ngaan sèt,I feel tired after finishing work.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""เหนื่อย"",""english"":""tired"",""tones"":[""low""],""tone"":""low"",""romanization"":""nùeai""},{""thai"":""หลังจาก"",""english"":""after"",""tones"":[""rising"",""low""],""romanization"":""lǎng jàak""},{""thai"":""ทำงาน"",""english"":""work"",""romanization"":""tham-ngaan""},{""thai"":""เสร็จ"",""english"":""finish"",""tones"":[""low""],""tone"":""low"",""romanization"":""sèt""}]",easy
เขารู้สึกดีที่ได้ช่วยเหลือเพื่อน,khǎo rúusùek dii thîi dâai chûai-lǔe phûean,He feels good about helping a friend.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""ดี"",""english"":""good"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""dii""},{""thai"":""ที่"",""english"":""about"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""thîi""},{""thai"":""ได้"",""english"":""able to"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""dâai""},{""thai"":""ช่วยเหลือ"",""english"":""help"",""tones"":[""falling"",""rising""],""romanization"":""chûai-lǔe""},{""thai"":""เพื่อน"",""english"":""friend"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûean""}]",medium
พวกเรารู้สึกมีความสุขในวันหยุด,phûakrao rúusùek mii khwaam-sùk nai wan-yùt,We feel happy on holidays.,"[{""thai"":""พวกเรา"",""english"":""we"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûakrao""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""มีความสุข"",""english"":""happy"",""romanization"":""mii khwaam-sùk""},{""thai"":""ใน"",""english"":""on"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""วันหยุด"",""english"":""holidays"",""romanization"":""wan-yùt""}]",easy
เธอรู้สึกกังวลเกี่ยวกับการสอบ,thoe rúusùek kang-won kìao kàp kaan-sòp,She feels worried about the exam.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""กังวล"",""english"":""worried"",""romanization"":""kang-won""},{""thai"":""เกี่ยวกับ"",""english"":""about"",""tones"":[""low"",""low""],""romanization"":""kìao kàp""},{""thai"":""การสอบ"",""english"":""the exam"",""romanization"":""kaan-sòp""}]",medium
พวกเขารู้สึกสนุกกับกิจกรรมนี้,phûak-kháo rúusùek sanùk kàp kìtjakam níi,They feel entertained with this activity.,"[{""thai"":""พวกเขา"",""english"":""they"",""tones"":[""falling"",""high""],""romanization"":""phûak-kháo""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""สนุก"",""english"":""entertained"",""tones"":[""low""],""tone"":""low"",""romanization"":""sanùk""},{""thai"":""กับ"",""english"":""with"",""tones"":[""low""],""tone"":""low"",""romanization"":""kàp""},{""thai"":""กิจกรรม"",""english"":""activity"",""tones"":[""low""],""tone"":""low"",""romanization"":""kìtjakam""},{""thai"":""นี้"",""english"":""this"",""tones"":[""high""],""tone"":""high"",""romanization"":""níi""}]",medium
ฉันรู้สึกไม่สบายเมื่ออากาศร้อน,chǎn rúusùek mâi sabai mûea aakaat rón,I feel uncomfortable when it's hot.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""ไม่สบาย"",""english"":""uncomfortable"",""romanization"":""mâi sabai""},{""thai"":""เมื่อ"",""english"":""when"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mûea""},{""thai"":""อากาศ"",""english"":""the weather"",""romanization"":""aakaat""},{""thai"":""ร้อน"",""english"":""hot"",""tones"":[""high""],""tone"":""high"",""romanization"":""rón""}]",medium
เด็กๆ รู้สึกตื่นเต้นเมื่อเห็นทะเล,dèk dèk rúusùek tûentaen mûea hěn thalée,The children feel excited when they see the sea.,"[{""thai"":""เด็กๆ"",""english"":""children"",""tones"":[""low"",""low""],""romanization"":""dèk dèk""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""ตื่นเต้น"",""english"":""excited"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""tûentaen""},{""thai"":""เมื่อ"",""english"":""when"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mûea""},{""thai"":""เห็น"",""english"":""see"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""hěn""},{""thai"":""ทะเล"",""english"":""the sea"",""tones"":[""high""],""tone"":""high"",""romanization"":""thalée""}]",easy
ครูรู้สึกภูมิใจในตัวนักเรียน,khruu rúusùek phuumjai nai tua nákrian,The teacher feels proud of the students.,"[{""thai"":""ครู"",""english"":""teacher"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khruu""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""ภูมิใจ"",""english"":""proud"",""romanization"":""phuumjai""},{""thai"":""ใน"",""english"":""of"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""ตัว"",""english"":""the"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tua""},{""thai"":""นักเรียน"",""english"":""students"",""tones"":[""high""],""tone"":""high"",""romanization"":""nákrian""}]",hard
เขารู้สึกเบื่อเมื่อไม่มีอะไรทำ,khǎo rúusùek bèua mûea mâi mii arai tham,He feels bored when there's nothing to do.,"[{""thai"":""เขา"",""english"":""he"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""เบื่อ"",""english"":""bored"",""tones"":[""low""],""tone"":""low"",""romanization"":""bèua""},{""thai"":""เมื่อ"",""english"":""when"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mûea""},{""thai"":""ไม่มี"",""english"":""there's no"",""romanization"":""mâi mii""},{""thai"":""อะไร"",""english"":""anything"",""romanization"":""arai""},{""thai"":""ทำ"",""english"":""to do"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tham""}]",hard
แม่รู้สึกอุ่นใจเมื่ออยู่บ้าน,mâe rúusùek ùnjai mûea yùu bâan,Mom feels at ease when at home.,"[{""thai"":""แม่"",""english"":""mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâe""},{""thai"":""รู้สึก"",""english"":""feel"",""grammar"":true,""romanization"":""rúusùek""},{""thai"":""อุ่นใจ"",""english"":""at ease"",""tones"":[""low""],""tone"":""low"",""romanization"":""ùnjai""},{""thai"":""เมื่อ"",""english"":""when"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mûea""},{""thai"":""อยู่"",""english"":""at"",""tones"":[""low""],""tone"":""low"",""romanization"":""yùu""},{""thai"":""บ้าน"",""english"":""home"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""bâan""}]",medium
