thai,romanization,english,breakdown,difficulty
ในความเห็นของฉัน การออกกำลังกายทุกวันทำให้สุขภาพดีขึ้น,nai khwaam hěn khǎawng chǎn gaan òrk gam-lang-gaai thúk wan tham hâi sùk-khà-phâap dii khûen,"In my opinion, exercising every day improves health.","[{""thai"":""ในความเห็นของฉัน"",""english"":""In my opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng chǎn""},{""thai"":""การออกกำลังกายทุกวัน"",""english"":""exercising every day"",""romanization"":""gaan òrk gam-lang-gaai thúk wan""},{""thai"":""ทำให้สุขภาพดีขึ้น"",""english"":""improves health"",""romanization"":""tham hâi sùk-khà-phâap dii khûen""}]",medium
ในความเห็นของเขา หนังเรื่องนี้น่าติดตามมาก,nai khwaam hěn khǎawng khǎo năng rûueang níi nâa tìt-taam mâak,"In his opinion, this movie is very engaging.","[{""thai"":""ในความเห็นของเขา"",""english"":""In his opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng khǎo""},{""thai"":""หนังเรื่องนี้"",""english"":""this movie"",""romanization"":""năng rûueang níi""},{""thai"":""น่าติดตามมาก"",""english"":""is very engaging"",""romanization"":""nâa tìt-taam mâak""}]",easy
ในความเห็นของเรา การเรียนรู้ภาษาใหม่เป็นเรื่องที่ท้าทาย,nai khwaam hěn khǎawng rao gaan rian rú phaasǎa mài bpen rûueang thîi tháa thaai,"In our opinion, learning a new language is challenging.","[{""thai"":""ในความเห็นของเรา"",""english"":""In our opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng rao""},{""thai"":""การเรียนรู้ภาษาใหม่"",""english"":""learning a new language"",""romanization"":""gaan rian rú phaasǎa mài""},{""thai"":""เป็นเรื่องที่ท้าทาย"",""english"":""is challenging"",""romanization"":""bpen rûueang thîi tháa thaai""}]",medium
ในความเห็นของเพื่อนฉัน อากาศวันนี้ร้อนเกินไป,nai khwaam hěn khǎawng phûuean chǎn aagàat wan-níi rón gooen pai,"In my friend's opinion, today's weather is too hot.","[{""thai"":""ในความเห็นของเพื่อนฉัน"",""english"":""In my friend's opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng phûuean chǎn""},{""thai"":""อากาศวันนี้"",""english"":""today's weather"",""romanization"":""aagàat wan-níi""},{""thai"":""ร้อนเกินไป"",""english"":""is too hot"",""romanization"":""rón gooen pai""}]",medium
ในความเห็นของอาจารย์ การทำงานเป็นทีมสำคัญที่สุด,nai khwaam hěn khǎawng aajaan gaan tham-ngaan bpen thiim sǎm-khan thîi sùt,"In the teacher's opinion, teamwork is the most important.","[{""thai"":""ในความเห็นของอาจารย์"",""english"":""In the teacher's opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng aajaan""},{""thai"":""การทำงานเป็นทีม"",""english"":""teamwork"",""romanization"":""gaan tham-ngaan bpen thiim""},{""thai"":""สำคัญที่สุด"",""english"":""is the most important"",""romanization"":""sǎm-khan thîi sùt""}]",hard
ในความเห็นของนักวิทยาศาสตร์ การเปลี่ยนแปลงสภาพอากาศเกิดขึ้นจริง,nai khwaam hěn khǎawng nák wít-thá-yá-sàat gaan plìian plɛɛng sà-phâap aa-gàat gèrt khûn jing,"In the scientists' opinion, climate change is real.","[{""thai"":""ในความเห็นของนักวิทยาศาสตร์"",""english"":""In the scientists' opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng nák wít-thá-yá-sàat""},{""thai"":""การเปลี่ยนแปลงสภาพอากาศ"",""english"":""climate change"",""romanization"":""gaan plìian plɛɛng sà-phâap aa-gàat""},{""thai"":""เกิดขึ้นจริง"",""english"":""is real"",""romanization"":""gèrt khûn jing""}]",hard
ในความเห็นของพวกเรา การศึกษาเป็นสิ่งที่มีค่าอย่างยิ่ง,nai khwaam hěn khǎawng phûuak rao gaan sùek-sǎa bpen sìng thîi mii khâa yàang yîng,"In our opinion, education is extremely valuable.","[{""thai"":""ในความเห็นของพวกเรา"",""english"":""In our opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng phûuak rao""},{""thai"":""การศึกษา"",""english"":""education"",""romanization"":""gaan sùek-sǎa""},{""thai"":""เป็นสิ่งที่มีค่าอย่างยิ่ง"",""english"":""is extremely valuable"",""romanization"":""bpen sìng thîi mii khâa yàang yîng""}]",hard
ในความเห็นของผม การฟังเพลงช่วยผ่อนคลายความเครียด,nai khwaam hěn khǎawng phǒm gaan fang phlaeng chûai phòn khlaai khwaam khrîat,"In my opinion, listening to music helps relieve stress.","[{""thai"":""ในความเห็นของผม"",""english"":""In my opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng phǒm""},{""thai"":""การฟังเพลง"",""english"":""listening to music"",""romanization"":""gaan fang phlaeng""},{""thai"":""ช่วยผ่อนคลายความเครียด"",""english"":""helps relieve stress"",""romanization"":""chûai phòn khlaai khwaam khrîat""}]",medium
ในความเห็นของเขา การออมเงินสำคัญต่ออนาคต,nai khwaam hěn khǎawng khǎo gaan aawm ngoen sǎm-khan tò anaa-khót,"In his opinion, saving money is important for the future.","[{""thai"":""ในความเห็นของเขา"",""english"":""In his opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng khǎo""},{""thai"":""การออมเงิน"",""english"":""saving money"",""romanization"":""gaan aawm ngoen""},{""thai"":""สำคัญต่ออนาคต"",""english"":""is important for the future"",""romanization"":""sǎm-khan tò anaa-khót""}]",medium
ในความเห็นของครู นักเรียนควรตั้งใจเรียนให้มากขึ้น,nai khwaam hěn khǎawng khruu nák-rian khuan tâng-jai rian hâi mâak khûen,"In the teacher's opinion, students should focus more on their studies.","[{""thai"":""ในความเห็นของครู"",""english"":""In the teacher's opinion"",""grammar"":true,""romanization"":""nai khwaam hěn khǎawng khruu""},{""thai"":""นักเรียนควรตั้งใจเรียน"",""english"":""students should focus on their studies"",""romanization"":""nák-rian khuan tâng-jai rian""},{""thai"":""ให้มากขึ้น"",""english"":""more"",""tones"":[""falling"",""falling"",""falling""],""romanization"":""hâi mâak khûen""}]",hard
