thai,romanization,english,breakdown,difficulty
แม้ว่าฝนจะตกหนัก แต่พวกเราไปเดินเล่นที่สวนสาธารณะ,"máae wâa fǒn jà tòk nàk, tàe phûak rao pai doen lên thîi sǔan sǎathǎarana","Even though it rained heavily, we still went for a walk in the park.","[{""thai"":""แม้ว่าฝนจะตกหนัก"",""english"":""Even though it rained heavily"",""tones"":[""high"",""falling"",""rising"",""low"",""low"",""low""],""grammar"":true,""romanization"":""máae wâa fǒn jà tòk nàk""},{""thai"":""แต่พวกเรา"",""english"":""but we"",""romanization"":""tàe phûak rao""},{""thai"":""ไปเดินเล่นที่สวนสาธารณะ"",""english"":""went for a walk in the park"",""romanization"":""pai doen lên thîi sǔan sǎathǎarana""}]",medium
แม้ว่าฉันจะไม่ชอบกินผัก แต่ฉันก็พยายามกินเพื่อสุขภาพ,"máae wâa chǎn jà mâi chôop kin phàk, tàe chǎn kô pha-yaa-yaam kin phûuea sùk-khà-phâap","Even though I don't like vegetables, I try to eat them for my health.","[{""thai"":""แม้ว่าฉันจะไม่ชอบกินผัก"",""english"":""Even though I don't like vegetables"",""grammar"":true,""romanization"":""máae wâa chǎn jà mâi chôop kin phàk""},{""thai"":""แต่ฉันก็พยายามกินเพื่อสุขภาพ"",""english"":""I try to eat them for my health"",""romanization"":""tàe chǎn kô pha-yaa-yaam kin phûuea sùk-khà-phâap""}]",medium
แม้ว่าคุณจะเจ็บป่วย แต่คุณก็ยังทำงานทุกวัน,"máae wâa khun jà jèp bpùai, tàe khun kô yang tham-ngaan thúk wan","Even though you are sick, you still work every day.","[{""thai"":""แม้ว่าคุณจะเจ็บป่วย"",""english"":""Even though you are sick"",""grammar"":true,""romanization"":""máae wâa khun jà jèp bpùai""},{""thai"":""แต่คุณก็ยังทำงานทุกวัน"",""english"":""you still work every day"",""romanization"":""tàe khun kô yang tham-ngaan thúk wan""}]",medium
แม้ว่าครูจะใจดี แต่บางครั้งเธอก็เข้มงวดกับเรา,"máae wâa khruu jà jai dii, tàe baang khráng thoe kô khêm-ngûat gàp rao","Even though the teacher is kind, she is sometimes strict with us.","[{""thai"":""แม้ว่าครูจะใจดี"",""english"":""Even though the teacher is kind"",""grammar"":true,""romanization"":""máae wâa khruu jà jai dii""},{""thai"":""แต่บางครั้งเธอก็เข้มงวดกับเรา"",""english"":""she is sometimes strict with us"",""romanization"":""tàe baang khráng thoe kô khêm-ngûat gàp rao""}]",medium
แม้ว่าจะไม่มีเวลา แต่ฉันก็พยายามอ่านหนังสือทุกวัน,"máae wâa jà mâi mee weelaa, tàe chǎn kô pha-yaa-yaam àan nang-sǔe thúk wan","Even though I don't have time, I still try to read every day.","[{""thai"":""แม้ว่าจะไม่มีเวลา"",""english"":""Even though I don't have time"",""grammar"":true,""romanization"":""máae wâa jà mâi mee weelaa""},{""thai"":""แต่ฉันก็พยายามอ่านหนังสือทุกวัน"",""english"":""I still try to read every day"",""romanization"":""tàe chǎn kô pha-yaa-yaam àan nang-sǔe thúk wan""}]",medium
แม้ว่าจะเหนื่อย แต่เธอก็ยังไปวิ่งทุกเช้า,"máae wâa jà nùueai, tàe thoe kô yang pai wîng thúk cháo","Even though she is tired, she still goes running every morning.","[{""thai"":""แม้ว่าจะเหนื่อย"",""english"":""Even though she is tired"",""tones"":[""high"",""falling"",""low"",""low""],""grammar"":true,""romanization"":""máae wâa jà nùueai""},{""thai"":""แต่เธอก็ยังไปวิ่งทุกเช้า"",""english"":""she still goes running every morning"",""romanization"":""tàe thoe kô yang pai wîng thúk cháo""}]",medium
แม้ว่าจะฝนตก แต่ทีมฟุตบอลก็ยังแข่งขันได้,"máae wâa jà fǒn tòk, tàe thiiam futbawn kô yang khàen-khǎn dâai","Even though it is raining, the football team can still play.","[{""thai"":""แม้ว่าจะฝนตก"",""english"":""Even though it is raining"",""tones"":[""high"",""falling"",""low"",""rising"",""low""],""grammar"":true,""romanization"":""máae wâa jà fǒn tòk""},{""thai"":""แต่ทีมฟุตบอลก็ยังแข่งขันได้"",""english"":""the football team can still play"",""romanization"":""tàe thiiam futbawn kô yang khàen-khǎn dâai""}]",medium
แม้ว่าจะยากลำบาก แต่เธอก็ยังยิ้มได้ทุกวัน,"máae wâa jà yâak lam-bàak, tàe thoe kô yang yím dâai thúk wan","Even though it is difficult, she can still smile every day.","[{""thai"":""แม้ว่าจะยากลำบาก"",""english"":""Even though it is difficult"",""grammar"":true,""romanization"":""máae wâa jà yâak lam-bàak""},{""thai"":""แต่เธอก็ยังยิ้มได้ทุกวัน"",""english"":""she can still smile every day"",""romanization"":""tàe thoe kô yang yím dâai thúk wan""}]",medium
แม้ว่าจะมีปัญหา แต่เราก็ช่วยกันแก้ไขได้,"máae wâa jà mii bpan-hǎa, tàe rao kô chûai gan gâae-khǎi dâai","Even though there are problems, we can still help each other solve them.","[{""thai"":""แม้ว่าจะมีปัญหา"",""english"":""Even though there are problems"",""grammar"":true,""romanization"":""máae wâa jà mii bpan-hǎa""},{""thai"":""แต่เราก็ช่วยกันแก้ไขได้"",""english"":""we can still help each other solve them"",""romanization"":""tàe rao kô chûai gan gâae-khǎi dâai""}]",medium
แม้ว่าจะลืมหนังสือ แต่เธอก็ยังทำการบ้านได้,"máae wâa jà luuem nang-sǔe, tàe thoe kô yang tham gaan-bâan dâai","Even though she forgot the book, she can still do her homework.","[{""thai"":""แม้ว่าจะลืมหนังสือ"",""english"":""Even though she forgot the book"",""grammar"":true,""romanization"":""máae wâa jà luuem nang-sǔe""},{""thai"":""แต่เธอก็ยังทำการบ้านได้"",""english"":""she can still do her homework"",""romanization"":""tàe thoe kô yang tham gaan-bâan dâai""}]",medium
