thai,romanization,english,breakdown,difficulty
คุณควรอ่านหนังสือก่อนเข้านอน,khun khuan àan năng-sǔe gòn khâo non,You should read a book before going to bed.,"[{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""อ่าน"",""english"":""read"",""tones"":[""low""],""tone"":""low"",""romanization"":""àan""},{""thai"":""หนังสือ"",""english"":""book"",""romanization"":""năng-sǔe""},{""thai"":""ก่อน"",""english"":""before"",""tones"":[""low""],""tone"":""low"",""romanization"":""gòn""},{""thai"":""เข้า"",""english"":""go"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""khâo""},{""thai"":""นอน"",""english"":""to bed"",""romanization"":""non""}]",easy
เธอควรกินข้าวเช้าทุกวัน,thoe khuan kin khâo cháo thúk wan,She should eat breakfast every day.,"[{""thai"":""เธอ"",""english"":""she"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""กิน"",""english"":""eat"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""kin""},{""thai"":""ข้าวเช้า"",""english"":""breakfast"",""tones"":[""falling"",""high""],""romanization"":""khâo cháo""},{""thai"":""ทุกวัน"",""english"":""every day"",""romanization"":""thúk wan""}]",easy
เราควรประหยัดเงินเพื่ออนาคต,rao khuan pràyàt ngoen phûea anáakhót,We should save money for the future.,"[{""thai"":""เรา"",""english"":""we"",""romanization"":""rao""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""ประหยัด"",""english"":""save"",""tones"":[""low""],""tone"":""low"",""romanization"":""pràyàt""},{""thai"":""เงิน"",""english"":""money"",""romanization"":""ngoen""},{""thai"":""เพื่อ"",""english"":""for"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûea""},{""thai"":""อนาคต"",""english"":""the future"",""tones"":[""high""],""tone"":""high"",""romanization"":""anáakhót""}]",medium
คุณควรพูดคุยกับเพื่อนร่วมงาน,khun khuan phûut khui kàp phûean ruam-ngaan,You should talk with your coworkers.,"[{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""พูดคุย"",""english"":""talk"",""romanization"":""phûut khui""},{""thai"":""กับ"",""english"":""with"",""tones"":[""low""],""tone"":""low"",""romanization"":""kàp""},{""thai"":""เพื่อนร่วมงาน"",""english"":""coworkers"",""romanization"":""phûean ruam-ngaan""}]",medium
เด็กๆ ควรเก็บของเล่นหลังจากเล่นเสร็จ,dèk-dèk khuan kèp khǎwng-lên lǎng jàk lên sèet,Children should put away toys after playing.,"[{""thai"":""เด็กๆ"",""english"":""children"",""tones"":[""low"",""low""],""romanization"":""dèk-dèk""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""เก็บ"",""english"":""put away"",""tones"":[""low""],""tone"":""low"",""romanization"":""kèp""},{""thai"":""ของเล่น"",""english"":""toys"",""tones"":[""rising"",""falling""],""romanization"":""khǎwng-lên""},{""thai"":""หลังจาก"",""english"":""after"",""tones"":[""rising"",""low""],""romanization"":""lǎng jàk""},{""thai"":""เล่น"",""english"":""playing"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""lên""},{""thai"":""เสร็จ"",""english"":""finished"",""tones"":[""low""],""tone"":""low"",""romanization"":""sèet""}]",medium
นักท่องเที่ยวควรลองอาหารท้องถิ่น,náktâwngthîeow khuan long aahǎan tháwngthìn,Tourists should try local food.,"[{""thai"":""นักท่องเที่ยว"",""english"":""tourists"",""romanization"":""náktâwngthîeow""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""ลอง"",""english"":""try"",""romanization"":""long""},{""thai"":""อาหาร"",""english"":""food"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""aahǎan""},{""thai"":""ท้องถิ่น"",""english"":""local"",""romanization"":""tháwngthìn""}]",medium
คุณควรตรวจสุขภาพปีละครั้ง,khun khuan trùat sùk-khà-pâap pii lá khráang,You should have a health check-up once a year.,"[{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""ตรวจ"",""english"":""check"",""tones"":[""low""],""tone"":""low"",""romanization"":""trùat""},{""thai"":""สุขภาพ"",""english"":""health"",""tones"":[""low"",""low"",""falling""],""romanization"":""sùk-khà-pâap""},{""thai"":""ปีละ"",""english"":""once a year"",""romanization"":""pii lá""},{""thai"":""ครั้ง"",""english"":""per time"",""tones"":[""high""],""tone"":""high"",""romanization"":""khráang""}]",hard
พวกเราควรจำกัดการใช้พลาสติก,phùaok-rao khuan jamgàt gaan cháy phláat-sà-dtik,We should limit the use of plastic.,"[{""thai"":""พวกเรา"",""english"":""we"",""romanization"":""phùaok-rao""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""จำกัด"",""english"":""limit"",""tones"":[""low""],""tone"":""low"",""romanization"":""jamgàt""},{""thai"":""การใช้"",""english"":""the use"",""romanization"":""gaan cháy""},{""thai"":""พลาสติก"",""english"":""plastic"",""romanization"":""phláat-sà-dtik""}]",hard
คุณควรแจ้งปัญหากับฝ่ายบริการ,khun khuan jâeng panhǎa kàp fàai bòriakaan,You should report the problem to customer service.,"[{""thai"":""คุณ"",""english"":""you"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""khun""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""แจ้ง"",""english"":""report"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""jâeng""},{""thai"":""ปัญหา"",""english"":""problem"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""panhǎa""},{""thai"":""กับ"",""english"":""to"",""tones"":[""low""],""tone"":""low"",""romanization"":""kàp""},{""thai"":""ฝ่ายบริการ"",""english"":""customer service"",""tones"":[""low"",""low""],""romanization"":""fàai bòriakaan""}]",hard
นักเรียนควรตั้งใจเรียนเพื่ออนาคตที่ดี,nákrīan khuan tângjai rian phûea anáakhót thîi dii,Students should study hard for a better future.,"[{""thai"":""นักเรียน"",""english"":""students"",""tones"":[""high""],""tone"":""high"",""romanization"":""nákrīan""},{""thai"":""ควร"",""english"":""should"",""grammar"":true,""romanization"":""khuan""},{""thai"":""ตั้งใจ"",""english"":""study hard"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""tângjai""},{""thai"":""เรียน"",""english"":""study"",""romanization"":""rian""},{""thai"":""เพื่อ"",""english"":""for"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""phûea""},{""thai"":""อนาคต"",""english"":""future"",""tones"":[""high""],""tone"":""high"",""romanization"":""anáakhót""},{""thai"":""ที่ดี"",""english"":""better"",""romanization"":""thîi dii""}]",medium
