thai,romanization,english,breakdown,difficulty
เธอเขียนชื่อไว้ในสมุด,thoe khiǎn chûe wái nai samùt,She wrote her name in the notebook.,"[{""thai"":""เธอ"",""english"":""She"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""thoe""},{""thai"":""เขียน"",""english"":""wrote"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khiǎn""},{""thai"":""ชื่อ"",""english"":""name"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""chûe""},{""thai"":""ไว้"",""english"":""to keep"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""},{""thai"":""ใน"",""english"":""in"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""nai""},{""thai"":""สมุด"",""english"":""notebook"",""tones"":[""low""],""tone"":""low"",""romanization"":""samùt""}]",easy
แม่เตรียมอาหารไว้สำหรับพรุ่งนี้,mâe triam aahǎan wái samràp phrûngníi,Mom prepared food for tomorrow.,"[{""thai"":""แม่"",""english"":""Mom"",""tones"":[""falling""],""tone"":""falling"",""romanization"":""mâe""},{""thai"":""เตรียม"",""english"":""prepared"",""romanization"":""triam""},{""thai"":""อาหาร"",""english"":""food"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""aahǎan""},{""thai"":""ไว้"",""english"":""to keep"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""},{""thai"":""สำหรับ"",""english"":""for"",""tones"":[""low""],""tone"":""low"",""romanization"":""samràp""},{""thai"":""พรุ่งนี้"",""english"":""tomorrow"",""romanization"":""phrûngníi""}]",medium
ฉันฝากจดหมายไว้ที่โต๊ะ,chǎn fàak jòt-mǎai wái thîi tó,I left the letter on the table.,"[{""thai"":""ฉัน"",""english"":""I"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""ฝาก"",""english"":""left"",""tones"":[""low""],""tone"":""low"",""romanization"":""fàak""},{""thai"":""จดหมาย"",""english"":""letter"",""tones"":[""low"",""rising""],""romanization"":""jòt-mǎai""},{""thai"":""ไว้"",""english"":""on"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""},{""thai"":""ที่โต๊ะ"",""english"":""the table"",""tones"":[""falling"",""high""],""romanization"":""thîi tó""}]",easy
เขาซื้อน้ำไว้ในตู้เย็น,khǎo súe nám wái nai túu-yen,He bought water and kept it in the fridge.,"[{""thai"":""เขา"",""english"":""He"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khǎo""},{""thai"":""ซื้อ"",""english"":""bought"",""tones"":[""high""],""tone"":""high"",""romanization"":""súe""},{""thai"":""น้ำ"",""english"":""water"",""tones"":[""high""],""tone"":""high"",""romanization"":""nám""},{""thai"":""ไว้"",""english"":""kept"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""},{""thai"":""ในตู้เย็น"",""english"":""in the fridge"",""romanization"":""nai túu-yen""}]",medium
จองโรงแรมไว้ล่วงหน้า,jong roong-raem wái lûang nâa,Booked the hotel in advance.,"[{""thai"":""จอง"",""english"":""Booked"",""romanization"":""jong""},{""thai"":""โรงแรม"",""english"":""hotel"",""romanization"":""roong-raem""},{""thai"":""ไว้"",""english"":""in advance"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""},{""thai"":""ล่วงหน้า"",""english"":""in advance"",""tones"":[""falling"",""falling""],""romanization"":""lûang nâa""}]",medium
เก็บของใช้ไว้ในกระเป๋า,kèp khǎawng chái wái nai krapǎo,Keep the essentials in the bag.,"[{""thai"":""เก็บ"",""english"":""Keep"",""tones"":[""low""],""tone"":""low"",""romanization"":""kèp""},{""thai"":""ของใช้"",""english"":""essentials"",""tones"":[""rising"",""high""],""romanization"":""khǎawng chái""},{""thai"":""ไว้"",""english"":""in"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""},{""thai"":""ในกระเป๋า"",""english"":""the bag"",""romanization"":""nai krapǎo""}]",easy
แปลงฟันแล้วหลอดยาสีฟันไว้,bplaeng fan láew lòot yaa-sǐ-fan wái,"Brush your teeth, then save the toothpaste tube.","[{""thai"":""แปลงฟัน"",""english"":""Brush"",""romanization"":""bplaeng fan""},{""thai"":""แล้ว"",""english"":""then"",""tones"":[""high""],""tone"":""high"",""romanization"":""láew""},{""thai"":""หลอดยาสีฟัน"",""english"":""the toothpaste tube"",""romanization"":""lòot yaa-sǐ-fan""},{""thai"":""ไว้"",""english"":""save"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""}]",hard
ทำการบ้านไว้ล่วงหน้า,tham gaan-bâan wái lûang nâa,Do homework in advance.,"[{""thai"":""ทำ"",""english"":""Do"",""tones"":[""mid""],""tone"":""mid"",""romanization"":""tham""},{""thai"":""การบ้าน"",""english"":""homework"",""romanization"":""gaan-bâan""},{""thai"":""ไว้"",""english"":""in advance"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""},{""thai"":""ล่วงหน้า"",""english"":""in advance"",""tones"":[""falling"",""falling""],""romanization"":""lûang nâa""}]",medium
เก็บเงินไว้ซื้อตั๋วเครื่องบิน,kèp ngǒen wái súe dtǔa khrûeang-bin,Save money for buying a plane ticket.,"[{""thai"":""เก็บ"",""english"":""Save"",""tones"":[""low""],""tone"":""low"",""romanization"":""kèp""},{""thai"":""เงิน"",""english"":""money"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""ngǒen""},{""thai"":""ไว้"",""english"":""for"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""},{""thai"":""ซื้อตั๋ว"",""english"":""buying a ticket"",""tones"":[""high"",""rising""],""romanization"":""súe dtǔa""},{""thai"":""เครื่องบิน"",""english"":""plane"",""romanization"":""khrûeang-bin""}]",hard
เขียนแผนที่ไว้ในสมุด,khiǎn phǎen-thîi wái nai samùt,Write the map in the notebook.,"[{""thai"":""เขียน"",""english"":""Write"",""tones"":[""rising""],""tone"":""rising"",""romanization"":""khiǎn""},{""thai"":""แผนที่"",""english"":""map"",""tones"":[""rising"",""falling""],""romanization"":""phǎen-thîi""},{""thai"":""ไว้"",""english"":""in"",""tones"":[""high""],""tone"":""high"",""grammar"":true,""romanization"":""wái""},{""thai"":""ในสมุด"",""english"":""the notebook"",""romanization"":""nai samùt""}]",medium
