thai,romanization,english,breakdown,difficulty
สำหรับฉัน การเดินทางคือการผจญภัย,sam-ràp chǎn gaan dooen-thaang khuue gaan phà-jon phai,"For me, traveling is an adventure.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""ฉัน"",""english"":""me"",""tone"":""rising"",""romanization"":""chǎn""},{""thai"":""การเดินทาง"",""english"":""traveling"",""tone"":""mid"",""romanization"":""gaan dooen-thaang""},{""thai"":""คือ"",""english"":""is"",""tone"":""mid"",""romanization"":""khuue""},{""thai"":""การผจญภัย"",""english"":""an adventure"",""tone"":""mid"",""romanization"":""gaan phà-jon phai""}]",easy
สำหรับเด็กๆ การเรียนรู้เป็นสิ่งสำคัญ,sam-ràp dèk-dèk gaan rian-rúu pen sìng săm-khàn,"For children, learning is important.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""เด็กๆ"",""english"":""children"",""tone"":""low"",""romanization"":""dèk-dèk""},{""thai"":""การเรียนรู้"",""english"":""learning"",""tone"":""mid"",""romanization"":""gaan rian-rúu""},{""thai"":""เป็น"",""english"":""is"",""tone"":""mid"",""romanization"":""pen""},{""thai"":""สิ่งสำคัญ"",""english"":""important"",""tone"":""rising"",""romanization"":""sìng săm-khàn""}]",easy
สำหรับพวกเขา การทำงานเป็นทีมคือความท้าทาย,sam-ràp phûak-kháo gaan tham-ngaan pen thiim khuue khwaam tháa-thaai,"For them, working as a team is a challenge.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""พวกเขา"",""english"":""them"",""tone"":""falling"",""romanization"":""phûak-kháo""},{""thai"":""การทำงาน"",""english"":""working"",""tone"":""mid"",""romanization"":""gaan tham-ngaan""},{""thai"":""เป็นทีม"",""english"":""as a team"",""tone"":""mid"",""romanization"":""pen thiim""},{""thai"":""คือ"",""english"":""is"",""tone"":""mid"",""romanization"":""khuue""},{""thai"":""ความท้าทาย"",""english"":""a challenge"",""tone"":""high"",""romanization"":""khwaam tháa-thaai""}]",medium
สำหรับนักลงทุน การตัดสินใจที่ดีเป็นเรื่องสำคัญ,sam-ràp nák long-thun gaan tàt-sǐn-jai thîi dii pen rûueang săm-khàn,"For investors, making good decisions is crucial.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""นักลงทุน"",""english"":""investors"",""tone"":""mid"",""romanization"":""nák long-thun""},{""thai"":""การตัดสินใจ"",""english"":""making decisions"",""tone"":""falling"",""romanization"":""gaan tàt-sǐn-jai""},{""thai"":""ที่ดี"",""english"":""good"",""tone"":""falling"",""romanization"":""thîi dii""},{""thai"":""เป็นเรื่องสำคัญ"",""english"":""is crucial"",""tone"":""rising"",""romanization"":""pen rûueang săm-khàn""}]",medium
สำหรับผู้สูงอายุ การออกกำลังกายเป็นประจำมีประโยชน์,sam-ràp phûu sǔung aayúu gaan òok gam-lang-gaai pen pracham mii prayòot,"For the elderly, exercising regularly is beneficial.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""ผู้สูงอายุ"",""english"":""the elderly"",""tone"":""rising"",""romanization"":""phûu sǔung aayúu""},{""thai"":""การออกกำลังกาย"",""english"":""exercising"",""tone"":""falling"",""romanization"":""gaan òok gam-lang-gaai""},{""thai"":""เป็นประจำ"",""english"":""regularly"",""tone"":""mid"",""romanization"":""pen pracham""},{""thai"":""มีประโยชน์"",""english"":""is beneficial"",""tone"":""low"",""romanization"":""mii prayòot""}]",medium
สำหรับคนที่ไม่มีเวลา การวางแผนช่วยให้ชีวิตง่ายขึ้น,sam-ràp khon thîi mâi mii weelaa gaan waang phǐan chûay hâi chîiwìt ngâai khûn,"For those without time, planning helps make life easier.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""คนที่ไม่มีเวลา"",""english"":""those without time"",""tone"":""falling"",""romanization"":""khon thîi mâi mii weelaa""},{""thai"":""การวางแผน"",""english"":""planning"",""tone"":""mid"",""romanization"":""gaan waang phǐan""},{""thai"":""ช่วยให้"",""english"":""helps make"",""tone"":""falling"",""romanization"":""chûay hâi""},{""thai"":""ชีวิตง่ายขึ้น"",""english"":""life easier"",""tone"":""falling"",""romanization"":""chîiwìt ngâai khûn""}]",hard
สำหรับคนรักการอ่าน หนังสือเล่มนี้น่าตื่นเต้น,sam-ràp khon rák gaan àan nang-sǔue lem níi nâa tûuean têen,"For book lovers, this book is exciting.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""คนรักการอ่าน"",""english"":""book lovers"",""tone"":""falling"",""romanization"":""khon rák gaan àan""},{""thai"":""หนังสือเล่มนี้"",""english"":""this book"",""tone"":""falling"",""romanization"":""nang-sǔue lem níi""},{""thai"":""น่าตื่นเต้น"",""english"":""is exciting"",""tone"":""falling"",""romanization"":""nâa tûuean têen""}]",easy
สำหรับคนที่ชอบธรรมชาติ การเดินป่าสนุกมาก,sam-ràp khon thîi chôop tham-má-châat gaan dooen pàa sanùk mâak,"For nature lovers, hiking is very fun.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""คนที่ชอบธรรมชาติ"",""english"":""nature lovers"",""tone"":""falling"",""romanization"":""khon thîi chôop tham-má-châat""},{""thai"":""การเดินป่า"",""english"":""hiking"",""tone"":""mid"",""romanization"":""gaan dooen pàa""},{""thai"":""สนุกมาก"",""english"":""is very fun"",""tone"":""falling"",""romanization"":""sanùk mâak""}]",medium
สำหรับพ่อแม่ การดูแลลูกเป็นสิ่งสำคัญมาก,sam-ràp phôo-mâae gaan duu-lae lûuk pen sìng săm-khàn mâak,"For parents, taking care of children is very important.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""พ่อแม่"",""english"":""parents"",""tone"":""falling"",""romanization"":""phôo-mâae""},{""thai"":""การดูแลลูก"",""english"":""taking care of children"",""tone"":""mid"",""romanization"":""gaan duu-lae lûuk""},{""thai"":""เป็นสิ่งสำคัญมาก"",""english"":""is very important"",""tone"":""rising"",""romanization"":""pen sìng săm-khàn mâak""}]",medium
สำหรับชาวต่างชาติ การเรียนภาษาไทยยากแต่ท้าทาย,sam-ràp chaao tàangchâat gaan rian phaasǎa thai yâak tàe tháa-thaai,"For foreigners, learning Thai is difficult but challenging.","[{""thai"":""สำหรับ"",""english"":""For"",""tone"":""rising"",""romanization"":""sam-ràp"",""grammar"":true},{""thai"":""ชาวต่างชาติ"",""english"":""foreigners"",""tone"":""falling"",""romanization"":""chaao tàangchâat""},{""thai"":""การเรียนภาษาไทย"",""english"":""learning Thai"",""tone"":""mid"",""romanization"":""gaan rian phaasǎa thai""},{""thai"":""ยากแต่ท้าทาย"",""english"":""is difficult but challenging"",""tone"":""falling"",""romanization"":""yâak tàe tháa-thaai""}]",hard
